x,y,potential
-5.4911,5.78876,0.6
-5.53791,5.744,0.6
-5.58436,5.69885,0.6
-5.63043,5.65333,0.6
-5.67614,5.60744,0.6
-5.72147,5.56118,0.6
-5.76643,5.51455,0.6
-5.811,5.46756,0.6
-5.8552,5.42021,0.6
-5.899,5.3725,0.6
-5.94242,5.32443,0.6
-5.98545,5.27602,0.6
-6.02808,5.22726,0.6
-6.07032,5.17815,0.6
-6.11215,5.1287,0.6
-6.15358,5.07892,0.6
-6.19461,5.0288,0.6
-6.23523,4.97835,0.6
-6.27543,4.92757,0.6
-6.31523,4.87646,0.6
-6.35461,4.82503,0.6
-6.39356,4.77329,0.6
-6.4321,4.72123,0.6
-6.47022,4.66886,0.6
-6.5079,4.61619,0.6
-6.54516,4.5632,0.6
-6.58199,4.50992,0.6
-6.65031,4.40856,0.6
-6.65434,4.40247,0.585647
-6.68986,4.34831,0.493893
-6.72494,4.29386,0.441408
-6.75957,4.23912,0.402143
-6.79376,4.18411,0.36938
-6.8275,4.12882,0.340609
-6.86079,4.07326,0.314594
-6.89363,4.01744,0.290619
-6.92602,3.96134,0.268221
-6.95795,3.90499,0.247081
-6.98942,3.84838,0.226965
-7.02043,3.79151,0.207698
-7.05097,3.7344,0.189142
-7.08106,3.67704,0.171184
-7.11067,3.61943,0.153733
-7.13982,3.56159,0.136712
-7.1685,3.50352,0.120056
-7.1967,3.44521,0.103706
-7.22443,3.38667,0.0876122
-7.25169,3.32792,0.0717275
-7.27846,3.26894,0.0560103
-7.30476,3.20975,0.0404213
-7.33057,3.15034,0.0249236
-7.35591,3.09073,0.00948151
-7.38075,3.03092,-0.00593946
-7.40511,2.9709,-0.0213735
-7.42899,2.91069,-0.0368553
-7.45237,2.85029,-0.05242
-7.47526,2.7897,-0.0681042
-7.49766,2.72893,-0.0839464
-7.51957,2.66797,-0.0999883
-7.54098,2.60684,-0.116275
-7.56189,2.54554,-0.132855
-7.58231,2.48407,-0.149786
-7.60222,2.42244,-0.16713
-7.62164,2.36065,-0.184963
-7.64055,2.2987,-0.203372
-7.65896,2.2366,-0.222462
-7.67686,2.17435,-0.242366
-7.69426,2.11196,-0.263248
-7.71115,2.04943,-0.285326
-7.72753,1.98677,-0.308895
-7.7434,1.92397,-0.334373
-7.75877,1.86105,-0.362394
-7.77362,1.79801,-0.394008
-7.78796,1.73484,-0.431176
-7.80179,1.67156,-0.478304
-7.8198,1.58515,-0.6
-7.82789,1.54468,-0.6
-7.84018,1.48109,-0.6
-7.85194,1.41739,-0.6
-7.86319,1.35361,-0.6
-7.87392,1.28973,-0.6
-7.88413,1.22577,-0.6
-7.89382,1.16173,-0.6
-7.90299,1.09761,-0.6
-7.91164,1.03342,-0.6
-7.91977,0.969162,-0.6
-7.92737,0.90484,-0.6
-7.93446,0.840458,-0.6
-7.94102,0.77602,-0.6
-7.94706,0.711532,-0.6
-7.95257,0.646996,-0.6
-7.95756,0.582418,-0.6
-7.96203,0.517802,-0.6
-7.96597,0.453151,-0.6
-7.96938,0.388471,-0.6
-7.97227,0.323765,-0.6
-7.97464,0.259038,-0.6
-7.97648,0.194293,-0.6
-7.97779,0.129536,-0.6
-7.97858,0.0647701,-0.6
-7.97885,2.86424e-08,-0.6
-7.97858,-0.06477,-0.6
-7.97779,-0.129536,-0.6
-7.97648,-0.194293,-0.6
-7.97464,-0.259037,-0.6
-7.97227,-0.323765,-0.6
-7.96938,-0.388471,-0.6
-7.96597,-0.453151,-0.6
-7.96203,-0.517802,-0.6
-7.95756,-0.582418,-0.6
-7.95257,-0.646996,-0.6
-7.94706,-0.711532,-0.6
-7.94102,-0.77602,-0.6
-7.93446,-0.840458,-0.6
-7.92737,-0.90484,-0.6
-7.91977,-0.969162,-0.6
-7.91164,-1.03342,-0.6
-7.90299,-1.09761,-0.6
-7.89382,-1.16173,-0.6
-7.88413,-1.22577,-0.6
-7.87392,-1.28973,-0.6
-7.86319,-1.35361,-0.6
-7.85194,-1.41739,-0.6
-7.84018,-1.48109,-0.6
-7.8198,-1.58515,-0.6
-7.8151,-1.60818,-0.559992
-7.80179,-1.67156,-0.480994
-7.78796,-1.73484,-0.432076
-7.77362,-1.79801,-0.394461
-7.75877,-1.86105,-0.362693
-7.7434,-1.92397,-0.334602
-7.72753,-1.98677,-0.309086
-7.71115,-2.04943,-0.285493
-7.69426,-2.11196,-0.2634
-7.67686,-2.17435,-0.242507
-7.65896,-2.2366,-0.222596
-7.64055,-2.2987,-0.2035
-7.62164,-2.36065,-0.185087
-7.60222,-2.42244,-0.167251
-7.58231,-2.48407,-0.149905
-7.56189,-2.54554,-0.132973
-7.54098,-2.60684,-0.116391
-7.51957,-2.66797,-0.100104
-7.49766,-2.72893,-0.084062
-7.47526,-2.7897,-0.0682196
-7.45237,-2.85029,-0.0525355
-7.42899,-2.91069,-0.0369711
-7.40511,-2.9709,-0.0214897
-7.38075,-3.03092,-0.00605609
-7.35591,-3.09073,0.00936423
-7.33057,-3.15034,0.0248056
-7.30476,-3.20975,0.0403027
-7.27846,-3.26894,0.0558909
-7.25169,-3.32792,0.0716072
-7.22443,-3.38667,0.087491
-7.1967,-3.44521,0.103584
-7.1685,-3.50352,0.119933
-7.13982,-3.56159,0.136588
-7.11067,-3.61943,0.153608
-7.08106,-3.67704,0.171057
-7.05097,-3.7344,0.189013
-7.02043,-3.79151,0.207568
-6.98942,-3.84838,0.226833
-6.95795,-3.90499,0.246946
-6.92602,-3.96134,0.268082
-6.89363,-4.01744,0.290475
-6.86079,-4.07326,0.314443
-6.8275,-4.12882,0.340447
-6.79376,-4.18411,0.3692
-6.75957,-4.23912,0.401925
-6.72494,-4.29386,0.44109
-6.68986,-4.34831,0.493165
-6.65031,-4.40856,0.6
-6.61838,-4.45634,0.6
-6.58199,-4.50992,0.6
-6.54516,-4.5632,0.6
-6.5079,-4.61619,0.6
-6.47022,-4.66886,0.6
-6.4321,-4.72123,0.6
-6.39356,-4.77329,0.6
-6.35461,-4.82503,0.6
-6.31523,-4.87646,0.6
-6.27543,-4.92757,0.6
-6.23523,-4.97835,0.6
-6.19461,-5.0288,0.6
-6.15358,-5.07892,0.6
-6.11215,-5.1287,0.6
-6.07032,-5.17815,0.6
-6.02808,-5.22726,0.6
-5.98545,-5.27602,0.6
-5.94242,-5.32443,0.6
-5.899,-5.3725,0.6
-5.8552,-5.42021,0.6
-5.811,-5.46756,0.6
-5.76643,-5.51455,0.6
-5.72147,-5.56118,0.6
-5.67614,-5.60744,0.6
-5.63043,-5.65333,0.6
-5.58436,-5.69885,0.6
-5.53791,-5.744,0.6
-5.4911,-5.78876,0.6
-5.44393,-5.83315,0.6
-5.3964,-5.87715,0.6
-5.34851,-5.92076,0.6
-5.30027,-5.96398,0.6
-5.25168,-6.00681,0.6
-5.20275,-6.04925,0.6
-5.15347,-6.09128,0.6
-5.10385,-6.13292,0.6
-5.0539,-6.17415,0.6
-5.00361,-6.21497,0.6
-4.953,-6.25538,0.6
-4.90205,-6.29538,0.6
-4.85079,-6.33497,0.6
-4.7992,-6.37414,0.6
-4.7473,-6.41289,0.6
-4.69509,-6.45121,0.6
-4.64256,-6.48911,0.6
-4.58973,-6.52659,0.6
-4.5366,-6.56363,0.6
-4.48317,-6.60024,0.6
-4.40856,-6.65031,0.6
-4.37542,-6.67215,0.530405
-4.32112,-6.70745,0.46537
-4.26653,-6.74231,0.420672
-4.21165,-6.77672,0.384976
-4.1565,-6.81069,0.354345
-4.10108,-6.8442,0.327026
-4.04538,-6.87727,0.302076
-3.98942,-6.90988,0.278917
-3.9332,-6.94204,0.257165
-3.87672,-6.97374,0.236548
-3.81998,-7.00498,0.216863
-3.76299,-7.03576,0.197953
-3.70575,-7.06607,0.179695
-3.64827,-7.09592,0.161989
-3.59054,-7.12531,0.144749
-3.53258,-7.15422,0.127905
-3.47439,-7.18266,0.111396
-3.41597,-7.21063,0.095167
-3.35732,-7.23812,0.0791695
-3.29846,-7.26513,0.0633596
-3.23937,-7.29167,0.0476967
-3.18007,-7.31773,0.0321428
-3.12056,-7.3433,0.0166615
-3.06085,-7.36839,0.00121778
-3.00094,-7.39299,-0.0142228
-2.94082,-7.41711,-0.0296948
-2.88052,-7.44074,-0.045233
-2.82002,-7.46388,-0.0608734
-2.75934,-7.48652,-0.0766537
-2.69847,-7.50868,-0.0926139
-2.63743,-7.53034,-0.108797
-2.57621,-7.5515,-0.125251
-2.51483,-7.57216,-0.142029
-2.45328,-7.59233,-0.15919
-2.39156,-7.61199,-0.176803
-2.32969,-7.63115,-0.19495
-2.26767,-7.64981,-0.213727
-2.20549,-7.66797,-0.233252
-2.14317,-7.68562,-0.253672
-2.08071,-7.70277,-0.275178
-2.01812,-7.7194,-0.298022
-1.95539,-7.73553,-0.322551
-1.89253,-7.75115,-0.349274
-1.82954,-7.76626,-0.378987
-1.76644,-7.78085,-0.41308
-1.70322,-7.79494,-0.454453
-1.58515,-7.8198,-0.6
-1.57644,-7.82156,-0.6
-1.5129,-7.8341,-0.6
-1.44925,-7.84612,-0.6
-1.38551,-7.85763,-0.6
-1.32168,-7.86862,-0.6
-1.25776,-7.87909,-0.6
-1.19376,-7.88904,-0.6
-1.12968,-7.89847,-0.6
-1.06552,-7.90738,-0.6
-1.0013,-7.91577,-0.6
-0.937009,-7.92364,-0.6
-0.872656,-7.93098,-0.6
-0.808246,-7.9378,-0.6
-0.743782,-7.9441,-0.6
-0.67927,-7.94988,-0.6
-0.614712,-7.95513,-0.6
-0.550115,-7.95986,-0.6
-0.485481,-7.96406,-0.6
-0.420815,-7.96774,-0.6
-0.356121,-7.97089,-0.6
-0.291404,-7.97352,-0.6
-0.226667,-7.97563,-0.6
-0.161916,-7.9772,-0.6
-0.0971538,-7.97825,-0.6
-0.0323853,-7.97878,-0.6
0.0323852,-7.97878,-0.6
0.0971537,-7.97825,-0.6
0.161916,-7.9772,-0.6
0.226667,-7.97563,-0.6
0.291404,-7.97352,-0.6
0.356121,-7.97089,-0.6
0.420815,-7.96774,-0.6
0.485481,-7.96406,-0.6
0.550115,-7.95986,-0.6
0.614712,-7.95513,-0.6
0.67927,-7.94988,-0.6
0.743782,-7.9441,-0.6
0.808246,-7.9378,-0.6
0.872656,-7.93098,-0.6
0.937009,-7.92364,-0.6
1.0013,-7.91577,-0.6
1.06552,-7.90738,-0.6
1.12968,-7.89847,-0.6
1.19376,-7.88904,-0.6
1.25776,-7.87909,-0.6
1.32168,-7.86862,-0.6
1.38551,-7.85763,-0.6
1.44925,-7.84612,-0.6
